1.jpg,1
1.png,1
2.jpg,1
3.jpg,1
4.jpg,1
5.jpg,0
6.jpg,1
7.jpg,1
8.jpg,1
9.jpg,1
10.jpg,1
11.jpg,2
12.jpg,2
13.jpg,2
13.png,1
14.jpg,2
15.jpg,2
16.jpg,2
17.jpg,2
18.jpg,2
19.jpg,2
20.jpg,1
21.jpg,5
22.jpg,3
23.jpg,2
23.png,5
24.gif,3
24.png,1
25.jpg,1
25.png,5
26.jpg,3
27.jpg,3
28.jpg,1
28.png,3
29.jpg,1
29.png,3
30.jpg,2
31.jpg,2
32.jpg,2
33.png,2
34.jpg,2
35.jpg,2
36.jpg,0
37.jpg,1
38.jpg,1
39.jpg,1
40.jpg,1
41.png,1
42.jpg,1
43.jpg,1
51.jpg,4
52.jpg,0
53.jpg,0
54.jpg,0
55.jpg,0
56.jpg,0
57.jpg,4
58.jpg,4
59.jpg,4
110.jpg,2
111.jpg,2
112.jpg,2
113.jpg,2
114.jpg,2
115.gif,2
116.png,2
117.png,2
118.jpg,2
119.png,2
120.png,2
121.png,2
122.png,2
123.jpg,2
124.png,2
125.png,2
126.png,2
127.png,2
128.png,2
129.png,2
130.jpg,2
131.png,2
132.png,2
133.gif,2
210.jpg,5
211.png,3
212.jpg,3
213.jpg,3
214.jpg,3
215.png,3
216.jpg,5
217.png,3
218.jpg,3
219.png,3
220.png,3
221.png,3
222.png,3
223.png,3
224.png,3
225.png,3
226.png,3
227.png,3
228.png,3
229.png,3
230.png,3
231.png,5
232.jpg,5
233.png,5
234.png,3
235.jpg,3
236.png,3
237.PNG,5
238.png,3
239.JPG,3
240.png,3
241.png,3
242.png,3
243.png,3
244.png,3
245.png,5
510.jpg,4
511.jpg,4
512.jpg,0
513.jpg,0
514.jpg,0
515.jpg,0
516.jpg,0
517.jpg,0
518.jpg,0
519.jpg,0
520.jpeg,4
520.jpg,0
521.jpg,0
521.png,4
522.jpg,0
523.jpg,0
524.png,0
525.jpg,0
526.jpg,0
527.jpg,0
528.jpg,0
529.jpg,0
530.png,0
531.jpg,4
532.jpg,4
533.jpg,4
534.jpg,4
535.png,4
536.jpg,4
537.png,4
538.jpg,4
539.jpg,0
540.jpg,0
541.png,4
542.jpeg,4
543.jpg,0
13195_2015_144_Fig1_HTML.jpg,3
anatomy_test.jpg,0
BError1.PNG,5
cartoon_test.png,1
d41586-018-07663-9_16315876.jpg,0
d41586-018-07663-9_16335438.jpg,5
fig-3-n15.png,3
fig-5-first_dataset.png,1
FYVE-GFP 180807_4_new_Average Contrast of Spots.png,3
FYVE-GFP 180807_4_new_Average Number of Spots per Cell.png,3
FYVE-GFP 180807_4_new_Average Number of Spots per Picture counted.png,3
FYVE-GFP 180807_4_new_Average Number of Spots per Picture projected.png,3
FYVE-GFP 180807_4_new_Average Roundness of Spots.png,3
FYVE-GFP 180807_4_new_Average Width to Length Ratio of Spots.png,3
graph_test.png,3
nlx085f1.jpg,4
nlx085f2.jpg,4
pmed.1002660.g001.jpg,3
pmed.1002660.g002.jpg,3
sebastian.jpeg,5
text_img1.png,5
text_img2.jpg,5
text_img3.jpg,5
scan.jpg,0
table.gif,5